token_id,gender,background,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url
1,Male,Gray,Plastic Armor Black,Clothing,Plastic Armor,Black,Aviator Sunglasses Clear Glass,Glasses,Aviator Sunglasses,Clear Glass,Mullet Glass,Hair,Mullet,Glass,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1
2,Female,Purple,Short Sleeve Button Up Psychedelic Blue,Clothing,Short Sleeve Button Up,Psychedelic Blue,Tiny Smile,Expression,Tiny Smile,No Color,Female Ponytail Chrome,Hair,Female Ponytail,Chrome,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/2.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/2
3,Male,Cream,Turtleneck Mint Chrome,Clothing,Turtleneck,Mint Chrome,Snowboard Goggles Pink,Glasses,Snowboard Goggles,Pink,Manbun Shiny Mint,Hair,Manbun,Shiny Mint,Plastic Pink,Plastic,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/3.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/3
4,Male,Cream,Hooded Jacket Pink,Clothing,Hooded Jacket,Pink,Library Glasses Black,Glasses,Library Glasses,Black,Top Messy Pink,Hair,Top Messy,Pink,Gradient Blue Purple Pink,Gradient,Blue Purple Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/4.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/4
5,Male,Red,Letterman Jacket Black,Clothing,Letterman Jacket,Black,Beard Red,Facial Hair,Beard,Red,Mullet Red,Hair,Mullet,Red,Gradient Yellow Yellow,Gradient,Yellow Yellow,3,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/5.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/5
6,Male,Mint,Short Sleeve Button Up Funk Grid Black,Clothing,Short Sleeve Button Up,Funk Grid Black,80s Glasses Candy Ice,Glasses,80s Glasses,Candy Ice,Bowl Cut Shiny Mint,Hair,Bowl Cut,Shiny Mint,Plastic Mint,Plastic,Mint,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/6.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/6
7,Male,Yellow,Puffy Jacket Cream,Clothing,Puffy Jacket,Cream,Snowboard Goggles Red,Glasses,Snowboard Goggles,Red,Rainbow Headband White Headphones,Headgear,Headphones,Rainbow White,Plastic Red,Plastic,Red,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/7.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/7
8,Female,Pink,Retro Windbreaker White,Clothing,Retro Windbreaker,White,Happy,Expression,Happy,No Color,Female Bun Black,Hair,Female Bun,Black,Gradient Dark Blue Light Blue,Gradient,Dark Blue Light Blue,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/8.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/8
9,Male,Mint,Puffy Jacket Mint,Clothing,Puffy Jacket,Mint,Library Glasses Gold,Glasses,Library Glasses,Gold,Bowl Cut Purple,Hair,Bowl Cut,Purple,Gradient Lime Seafoam,Gradient,Lime Seafoam,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/9.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/9
10,Male,Yellow,Hooded Jacket Gold,Clothing,Hooded Jacket,Gold,Happy,Expression,Happy,No Color,Afro Red,Hair,Afro,Red,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/10.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/10
11,Male,Blue,Hooded Jacket Pink,Clothing,Hooded Jacket,Pink,80s Glasses Rainbow,Glasses,80s Glasses,Rainbow,Afro Shiny Black,Hair,Afro,Shiny Black,Plastic Pink,Plastic,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/11.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/11
